WKT,nama,deskripsi
"POINT (111.4752851 -0.2787808)",Kalimantan Barat,
"POINT (113.3823545 -1.6814878)",Kalimantan Tengah,
"POINT (115.2837585 -3.0926415)",Kalimantan Selatan,
"POINT (116.419389 0.5386586)",Kalimantan Timur,
"POINT (116.0413889 3.0730929)",Kalimantan Utara,
