WKT,nama,deskripsi
"POINT (96.7493993 4.695135)",Aceh,
"POINT (99.54509739999999 2.1153547)",Sumatera Utara,
"POINT (100.8000051 -0.7399397)",Sumatera Barat,
"POINT (101.7068294 0.2933469)",Riau,
"POINT (102.4380581 -1.4851831)",Jambi,
"POINT (103.914399 -3.3194374)",Sumatera Selatan,
"POINT (102.3463875 -3.5778471)",Bengkulu,
"POINT (105.4068079 -4.5585849)",Lampung,
"POINT (106.4405872 -2.7410513)",Kepulauan Bangka Belitung,
"POINT (108.1428669 3.9456514)",Kepulauan Riau,
