WKT,nama,deskripsi
"POINT (106.8283415 -6.180495)",Daerah Khusus Ibukota Jakarta,
"POINT (107.668887 -7.090910999999999)",Jawa Barat,
"POINT (110.1402594 -7.150975)",Jawa Tengah,
"POINT (110.4262088 -7.875384899999999)",Daerah Istimewa Yogyakarta,
"POINT (112.2384017 -7.5360639)",Jawa Timur,
"POINT (106.0640179 -6.4058172)",Banten,
"POINT (115.188916 -8.4095178)",Bali,
