WKT,nama,deskripsi
"POINT (121.0793705 -8.657381899999999)",Nusa Tenggara Timur,
"POINT (117.3616476 -8.6529334)",Nusa Tenggara Barat,
"POINT (130.1452734 -3.2384616)",Maluku,
"POINT (127.8087693 1.5709993)",Maluku Utara,
"POINT (133.1747162 -1.3361154)",Papua Barat,
"POINT (138.0803529 -4.269928)",Papua,
